name,drug_class,drugbank_id,smiles,formal_charge,E_HOMO_eV,E_LUMO_eV,Gap_eV,Eta_eV,Mu_eV,Omega_eV,MolMR,MolWt,E_drug_Eh,vina_5O3L_kcal_mol,delta_Eint_SP_kcal_mol,carrier_formula
Methylene Blue,Phenothiazine / Tau Inhibitor,DB09241,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,1,-8.1932,-6.1351,2.0581,1.029,-7.1641,24.9381,90.187,284.41,-55.43627,-4.67,191.859,B40H15
Hydromethylthionine,Reduced Phenothiazine / LMTX,DB13952,CN(C)C1=CC=C2NC3=CC=C(N(C)C)C=C3SC2=C1,0,-8.4867,-6.0233,2.4634,1.2317,-7.255,21.3668,88.944,285.42,-55.976546,-4.77,-1.676,B40H15
Azure A,Phenothiazine Metabolite,DB_AzA,CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,1,-8.2752,-6.2152,2.06,1.03,-7.2452,25.482,85.407,270.38,-52.271954,-4.61,190.276,B40H15
Toluidine Blue O,Phenothiazine Diagnostic,DB_TBO,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N,1,-8.2675,-6.1653,2.1022,1.0511,-7.2164,24.7723,85.009,270.38,-52.276525,-4.85,191.67,B40H15
Thioflavin-T,Amyloid/Tau Diagnostic Dye,DB_ThT,Cc1ccc(Nc2nc3ccccc3s2)cc1,0,-9.9222,-6.864,3.0582,1.5291,-8.3931,23.0345,74.082,240.33,-45.205688,-4.81,-0.876,B40H15
Thioflavin-S,Amyloid Diagnostic Dye,DB_ThS,Cc1ccc2nc(c3ccc(N)cc3)sc2c1,0,-9.9348,-7.2859,2.6489,1.3244,-8.6104,27.9883,74.205,240.33,-45.196122,-5.06,-2.114,B40H15
Congo Red,Histological Amyloid Stain,DB_CR,Nc1ccc(N=Nc2ccc3c(S(=O)(=O)O)cc(N)cc3c2)c2ccccc12,0,-9.5742,-8.3642,1.21,0.605,-8.9692,66.4848,110.711,392.44,-78.044178,-5.57,-8.987,B40H15
Chrysamine G,Congo Red Derivative,DB_ChG,O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4cc(C(=O)O)c(O)cc4)cc3)cc2)ccc1O,0,-9.8435,-8.6657,1.1778,0.5889,-9.2546,72.7183,130.362,482.45,-100.847161,-6.83,-9.315,B40H15
FDDNP,PET Amyloid/Tau Radiotracer,DB_FDDNP,CCN(CC)c1ccc(/C=C/C=C(\C#N)C#N)cc1,0,-9.8372,-8.3554,1.4818,0.7409,-9.0963,55.8393,78.346,251.33,-51.578246,-4.41,-7.461,B40H15
Curcumin,Natural Polyphenol,DB02741,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,0,-10.2018,-8.0216,2.1802,1.0901,-9.1117,38.0805,102.017,368.39,-79.484613,-5.03,-7.777,B40H15
EGCG,Green Tea Catechin,DB03603,O=C(Oc1cc(O)c(O)c(O)c1)[C@@H]1Oc2cc(O)cc(O)c2[C@@H](O)[C@H]1c1cc(O)c(O)c(O)c1,0,-10.3663,-7.3005,3.0658,1.5329,-8.8334,25.4514,110.396,474.37,-105.129402,-5.88,-5.278,B40H15
Resveratrol,Stilbenoid Antioxidant,DB02709,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,0,-10.0358,-6.8835,3.1523,1.5762,-8.4596,22.7027,66.806,228.25,-48.266594,-4.97,-2.302,B40H15
Quercetin,Flavonol / Tau Aggregation Inhibitor,DB04216,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,0,-10.3293,-7.8092,2.5201,1.2601,-9.0693,32.6381,76.244,302.24,-65.70771,-5.58,-5.295,B40H15
Myricetin,Hexahydroxyflavone,DB_Myr,O=C1C(O)=C(c2cc(O)c(O)c(O)c2)Oc2cc(O)cc(O)c21,0,-10.3717,-7.8769,2.4948,1.2474,-9.1243,33.3706,77.909,318.24,-69.781614,-5.57,-5.244,B40H15
Baicalein,Flavone / Anti-Tau Fibril,DB_Bai,O=C1C=C(c2ccccc2)Oc2cc(O)c(O)c(O)c21,0,-10.3114,-7.8519,2.4595,1.2298,-9.0816,33.5338,72.914,270.24,-57.554086,-5.54,-4.277,B40H15
Rosmarinic Acid,Polyphenolic Ester,DB_Ros,O=C(O)/C=C/c1ccc(O)c(O)c1OC(=O)[C@H](Cc1ccc(O)c(O)c1)O,0,-9.9443,-8.0179,1.9264,0.9632,-8.9811,41.8709,91.559,376.32,-83.294786,-5.6,-6.241,B40H15
Fisetin,Tetrahydroxyflavone,DB_Fis,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc2ccc(O)cc21,0,-10.2732,-7.904,2.3692,1.1846,-9.0886,34.8652,74.579,286.24,-61.624625,-5.75,-6.155,B40H15
Apigenin,Trihydroxyflavone,DB_Api,O=C1C=C(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0,-10.5955,-7.7421,2.8534,1.4267,-9.1688,29.462,72.914,270.24,-57.562229,-5.53,-4.265,B40H15
Luteolin,Tetrahydroxyflavone,DB_Lut,O=C1C=C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,0,-10.0962,-7.4501,2.6461,1.323,-8.7731,29.0874,74.579,286.24,-61.617492,-5.87,-4.313,B40H15
Honokiol,Lignan / Neuroprotective Polyphenol,DB_Hon,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0,-9.977,-6.6147,3.3623,1.6812,-8.2958,20.4685,83.01,266.34,-55.788607,-4.93,-1.193,B40H15
Anle138b,Oligomer Modulator,DB_Anle,BrC1=CC(=NN1C2=CC=C(C=C2)Br)C3=CC=CC=C3,0,-10.7024,-7.7361,2.9663,1.4832,-9.2193,28.6534,84.4,378.07,-51.211254,-5.27,-3.172,B40H15
Tideglusib,GSK-3beta Inhibitor,DB12129,O=C1NC(=O)N(c2ccccc2)S1(=O)=O,0,-11.5162,-8.9364,2.5798,1.2899,-10.2263,40.5369,51.769,226.21,-45.549795,-4.74,-13.779,B40H15
AZD1080,Selective GSK-3 Inhibitor,DB12488,Cc1nc(Nc2ccc(C#N)c(F)c2)c(C(F)(F)F)n1C,0,-10.3589,-7.4384,2.9205,1.4603,-8.8986,27.1138,67.345,298.24,-63.56984,-5.3,-3.436,B40H15
Bexarotene,RXR Agonist / Clearance Enhancer,DB00396,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0,-10.2913,-7.5723,2.719,1.3595,-8.9318,29.3406,108.002,348.49,-73.823671,-5.55,-3.032,B40H15
Donepezil,AChE Inhibitor,DB00843,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,-9.3542,-7.3361,2.0181,1.0091,-8.3452,34.5085,110.131,379.5,-81.308832,-5.75,-2.724,B40H15
